Month,Passengers,actual,forecast
1958-08,505,505.0,490.3379107897934
1958-09,404,404.0,440.821348253873
1958-10,359,359.0,352.6462060820928
1958-11,310,310.0,317.9474891434071
1958-12,337,337.0,345.7846776735994
1959-01,360,360.0,345.7393499517809
1959-02,342,342.0,336.30946042012107
1959-03,406,406.0,385.97133084005134
1959-04,396,396.0,388.4936645457147
1959-05,420,420.0,406.76006784489596
1959-06,472,472.0,486.18241827902307
1959-07,548,548.0,526.0825119234045
1959-08,559,559.0,549.8761158084313
1959-09,463,463.0,456.232825891429
1959-10,407,407.0,412.0248059497518
1959-11,362,362.0,354.1580261308869
1959-12,405,405.0,381.53757036991203
1960-01,417,417.0,419.9671721078601
1960-02,391,391.0,401.7647617196534
1960-03,419,419.0,456.9430511223314
1960-04,461,461.0,408.350081640294
1960-05,472,472.0,465.5842489897306
1960-06,535,535.0,524.117238109622
1960-07,622,622.0,599.9477975261915
1960-08,606,606.0,629.5992952951275
1960-09,508,508.0,514.6903265155779
1960-10,461,461.0,451.13021284270224
1960-11,390,390.0,414.04623207000793
1960-12,432,432.0,440.3634930179497
