file_id,dataset,scenario,branch,llm_version,run_id,part0_model,loss,lag,n,mean_loss_diff,statistic,p_value,significant_win,significant_loss,part2_better_than_part0,fdr_p_value
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run1,AirPassengers,S1,Base,ClaudeOpus47,1,Naive (Flat),squared_error,0,29,-7995.894221467132,-5.288572289206628,1.232747694386751e-07,True,False,True,3.7615210066363786e-07
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run1,AirPassengers,S1,Base,ClaudeOpus47,1,Naive (Seasonal),squared_error,0,29,-4982.101118018858,-5.833876516620262,5.415420567521844e-09,True,False,True,1.837579283482571e-08
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run1,AirPassengers,S1,Base,ClaudeOpus47,1,Auto-ARIMA,squared_error,0,29,-552.7669587429968,-3.114445290691641,0.0018429112992301379,True,False,True,0.0031668871897905476
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run2,AirPassengers,S1,Base,ClaudeOpus47,2,Naive (Flat),squared_error,0,29,-7995.894221467132,-5.288572289206628,1.232747694386751e-07,True,False,True,3.7615210066363786e-07
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run2,AirPassengers,S1,Base,ClaudeOpus47,2,Naive (Seasonal),squared_error,0,29,-4982.101118018858,-5.833876516620262,5.415420567521844e-09,True,False,True,1.837579283482571e-08
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run2,AirPassengers,S1,Base,ClaudeOpus47,2,Auto-ARIMA,squared_error,0,29,-552.7669587429968,-3.114445290691641,0.0018429112992301379,True,False,True,0.0031668871897905476
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run3,AirPassengers,S1,Base,ClaudeOpus47,3,Naive (Flat),squared_error,0,29,-7995.894221467132,-5.288572289206628,1.232747694386751e-07,True,False,True,3.7615210066363786e-07
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run3,AirPassengers,S1,Base,ClaudeOpus47,3,Naive (Seasonal),squared_error,0,29,-4982.101118018858,-5.833876516620262,5.415420567521844e-09,True,False,True,1.837579283482571e-08
Part2-AirPassengers-S1-Base-ClaudeOpus47-Run3,AirPassengers,S1,Base,ClaudeOpus47,3,Auto-ARIMA,squared_error,0,29,-552.7669587429968,-3.114445290691641,0.0018429112992301379,True,False,True,0.0031668871897905476
Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run1,AirPassengers,S1,Base,DeepSeekV4Pro,1,Naive (Flat),squared_error,0,29,-7995.894221467132,-5.288572289206628,1.232747694386751e-07,True,False,True,3.7615210066363786e-07
Part2-AirPassengers-S1-Base-DeepSeekV4Pro-Run1,AirPassengers,S1,Base,DeepSeekV4Pro,1,Naive (Seasonal),squared_error,0,29,-4982.101118018858,-5.833876516620262,5.415420567521844e-09,True,False,True,1.837579283482571e-08
