llm_version,branch,mae_count,mae_mean,mae_std,mae_median,mae_q1,mae_q3,mae_iqr,mae_ci95_low,mae_ci95_high,rmse_count,rmse_mean,rmse_std,rmse_median,rmse_q1,rmse_q3,rmse_iqr,rmse_ci95_low,rmse_ci95_high,smape_count,smape_mean,smape_std,smape_median,smape_q1,smape_q3,smape_iqr,smape_ci95_low,smape_ci95_high,mase_count,mase_mean,mase_std,mase_median,mase_q1,mase_q3,mase_iqr,mase_ci95_low,mase_ci95_high,r2_count,r2_mean,r2_std,r2_median,r2_q1,r2_q3,r2_iqr,r2_ci95_low,r2_ci95_high
ClaudeOpus47,Base,24,10.788874911877135,7.121763551877492,11.49637137855457,5.39857528495738,16.22563008789008,10.827054802932702,7.939576072638137,13.638173751116135,24,13.159657090459577,8.380371244687845,15.014304915841558,6.346583221469086,19.69479489000217,13.348211668533086,9.806810301045175,16.51250387987398,24,13.759240022719483,11.471903367013457,10.458974324752395,4.154149606320374,26.704447368537195,22.55029776221682,9.169522783528603,18.348957261910364,24,1.7887905229891843,1.234554749311379,1.2575316316592116,0.847808581167006,3.388953014949017,2.5411444337820113,1.2948657544165791,2.2827152915617894,24,0.6503113222275719,0.4092749905436968,0.8646850433067462,0.40263323842747095,0.931475126572679,0.5288418881452079,0.48656722331287555,0.8140554211422684
ClaudeOpus47,ChalDL,34,31.775106273935496,34.30092163025192,19.342282974308937,1.8840292572976902,56.1265895448882,54.24256028759051,20.245289597737823,43.30492295013317,34,39.74904533065078,43.55159270644499,24.92115463656537,2.3978875213389728,70.7234964398044,68.32560891846543,25.10973373212886,54.3883569291727,34,32.40586152556563,30.769734660092098,16.072264327519182,10.362968186991697,42.30759341289324,31.944625225901543,22.063008245109863,42.748714806021404,34,4.795549213412279,6.129654748727746,2.54502241057024,1.5786870886938866,4.424987815487584,2.8463007267936975,2.735144064447296,6.855954362377263,34,-4.647246910421381,16.644521325954216,0.18795633539333176,-0.5152844157690375,0.6903864843382295,1.205670900107267,-10.242090151661289,0.9475963308185271
ClaudeOpus47,ChalML,43,16.632865926872327,23.808271850008925,5.75633430480957,1.3403075000489362,26.035337098333983,24.695029598285046,9.516640185208265,23.749091668536387,43,21.71435806455266,31.499194779011706,7.384282885806257,1.7858023551771156,34.54519917741978,32.759396822242664,12.2993370105147,31.12937911859062,43,17.80721692411751,10.732505587786218,14.60157400163366,9.049371841349117,22.299426661998773,13.250054820649655,14.599301077998295,21.015132770236722,43,2.051914835176016,1.128512766745329,1.4472442900006754,1.1519978712417045,3.041965411443208,1.8899675402015037,1.7146055314557365,2.3892241388962954,43,0.41736509498018715,0.5044514077182116,0.6171573887349127,0.24233794348489984,0.8045093354026089,0.5621713919177092,0.26658598276076473,0.5681442071996096
DeepSeekV4Pro,Base,19,12.209215620017108,5.836674366849765,13.008424846188102,6.5678397756659646,16.769099600645966,10.201259824980001,9.584726750877811,14.833704489156405,19,14.859688283988993,6.845553681044734,17.23978255624867,8.423773411799964,19.947401079275814,11.52362766747585,11.781551949874075,17.93782461810391,19,17.746360409514125,32.1002859827254,10.39279631914403,4.154149606320374,12.744723170626333,8.59057356430596,3.312311503797691,32.18040931523056,19,2.1377564296309375,2.97593120482092,1.2509397992636746,0.847808581167006,1.5419242232606392,0.6941156420936332,0.7996145646784367,3.4758982945834385,19,0.1834503775825717,2.2514731150629372,0.8655210518735972,0.7577869389328661,0.931475126572679,0.17368818763981286,-0.8289354021021551,1.1958361572672986
DeepSeekV4Pro,ChalDL,23,157.54051023241115,189.61659606348115,38.9956208625,9.050251626968384,401.77044759947677,392.7201959725084,80.0464351220105,235.0345853428118,23,162.7062510104274,191.41849291440786,42.73792221237592,12.936094516994741,409.00758853977504,396.0714940227803,84.47576182654468,240.93674019431012,23,91.72149901059016,70.9781640365267,104.7011262903284,17.10261074911762,167.2162492397554,150.11363849063778,62.71355725214049,120.72944076903984,23,9.713311254284623,7.8281200609404795,9.042834818080198,2.169220746026058,19.076147866030965,16.90692712000491,6.514050553640767,12.912571954928477,23,-10.550486753283762,12.931941217412902,-5.035810770239125,-26.403968163733346,0.03726767140334185,26.441235835136688,-15.835619198599758,-5.265354307967766
DeepSeekV4Pro,ChalML,33,19.9551288440344,24.320702982809003,9.295969877426868,2.657572520882738,27.043594105020915,24.386021584138177,11.657094549807807,28.253163138260994,33,25.85165730563317,32.069433705996765,12.346127270489012,3.6015630375540404,34.54519917741978,30.943636139865742,14.909816484794705,36.79349812647164,33,17.809074879378226,10.580283208919237,16.672822323550456,10.086471888073962,22.66897590284324,12.582504014769277,14.19916471468029,21.418985044076162,33,2.1363809534306406,1.122060781603575,1.902634252637984,1.2840357051113636,2.8624490006793404,1.5784132955679768,1.7535425604559582,2.5192193464053227,33,0.3156143903791842,0.5909304103414945,0.487932345814505,-0.0923582214006033,0.7980474257532395,0.8904056471538428,0.11399354027541958,0.5172352404829488
GPT55,Base,24,11.597006440136823,6.6819264618811625,12.252398112371337,6.275523652988818,15.960811029974035,9.685287376985217,8.923679086169955,14.270333794103692,24,14.230012527915255,7.874204120401152,16.127043736045113,7.904475864217244,19.31691472232715,11.412438858109908,11.079674764416325,17.380350291414185,24,13.055951275649752,12.896902998537472,7.675912567886407,3.8842100769924635,16.127780269082276,12.243570192089813,7.896115446247184,18.21578710505232,24,1.659211197184651,1.24876450287717,1.1500948146544883,0.7954867203508823,2.040102480901698,1.2446157605508157,1.159601343162922,2.15882105120638,24,0.68619857031254,0.3961695125949346,0.8768066107990653,0.6547600178400659,0.9361356053547537,0.28137558751468783,0.5276977545867717,0.8446993860383082
GPT55,ChalDL,31,120.58211192891245,176.62138911141147,16.031682269130297,1.2357606251294366,254.55893232411353,253.32317169898408,58.40672157485501,182.75750228296988,31,125.12639324961296,178.729607596226,19.43175366019421,1.886958580790579,268.47080269060615,266.5838441098156,62.208854348856576,188.04393215036936,31,74.58252936195275,67.2742994189805,46.31031032720964,12.806451198169363,136.28607381348,123.47962261531063,50.900200465012816,98.26485825889269,31,8.551147325907051,7.876415458321685,4.948157553401999,2.214754002575256,19.21944651093983,17.004692508364574,5.77844121043781,11.323853441376292,31,-9.166425836989587,14.564161163945231,-0.2684981460066937,-26.81249690714983,0.4790836496947901,27.291580556844618,-14.293394943638924,-4.03945673034025
GPT55,ChalML,43,16.580199932526742,24.12944787362357,5.529756246600285,0.8958114994658546,26.53946560167745,25.643654102211595,9.367975577387046,23.79242428766644,43,21.64186116537967,31.9455285636559,7.357802303359237,1.3314675266239815,34.494431691835466,33.162964165211484,12.093432193804924,31.190290136954417,43,16.662227426492453,9.965034746428058,14.603819503618196,7.946330553353002,22.21109647426008,14.26476592090708,13.683706464288237,19.64074838869667,43,2.000757246501569,1.1616692560013462,1.3499092929794807,1.06783229841424,3.041965411443208,1.974133113028968,1.653537561052059,2.347976931951079,43,0.4819424522583516,0.4635653286881408,0.7073965452558536,0.2458497236702685,0.807053397608134,0.5612036739378655,0.3433840744921689,0.6205008300245343
Gemini31Pro,Base,25,10.011822007063618,7.384417161544587,9.402531804922544,5.370276590469533,15.329068497912804,9.95879190744327,7.11713047973814,12.906513534389095,25,12.190088358320622,8.66007385147828,11.332522190425184,6.326947481957138,18.93834847716184,12.6114009952047,8.795339408541135,15.58483730810011,25,21.97773061681929,29.84259836057422,12.636871719173945,4.892850811020417,30.55321564768026,25.660364836659845,10.279432059474196,33.676029174164384,25,2.5260165404914208,2.787036791073776,1.5298973958153654,1.042657997649765,3.570717736160697,2.5280597385109322,1.4334981183905007,3.618534962592341,25,0.1817971772128538,2.1203252397674395,0.7616148503911495,0.2476374394156165,0.8889281782913843,0.6412907388757678,-0.6493703167759824,1.01296467120169
