Month,Passengers,actual,forecast
1958-08,505,505.0,379.5948181152344
1958-09,404,404.0,390.6456604003906
1958-10,359,359.0,400.0856323242188
1958-11,310,310.0,390.4768371582031
1958-12,337,337.0,397.7790222167969
1959-01,360,360.0,391.3088684082031
1959-02,342,342.0,382.5231323242188
1959-03,406,406.0,376.6816101074219
1959-04,396,396.0,383.1973876953125
1959-05,420,420.0,378.846435546875
1959-06,472,472.0,381.8857116699219
1959-07,548,548.0,396.34814453125
1959-08,559,559.0,395.4070739746094
1959-09,463,463.0,398.83251953125
1959-10,407,407.0,394.4548950195313
1959-11,362,362.0,400.6080322265625
1959-12,405,405.0,390.8642883300781
1960-01,417,417.0,391.2231140136719
1960-02,391,391.0,387.6032104492188
1960-03,419,419.0,399.3528747558594
1960-04,461,461.0,400.22467041015625
1960-05,472,472.0,409.42083740234375
1960-06,535,535.0,413.1578979492188
1960-07,622,622.0,427.4555358886719
1960-08,606,606.0,438.7966918945313
1960-09,508,508.0,456.0912170410156
1960-10,461,461.0,453.4306335449219
1960-11,390,390.0,438.141357421875
1960-12,432,432.0,447.7950134277344
