Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,35.0
2017-04,20,55,55.0,35.8
2017-05,21,60,60.0,37.2
2017-06,20,74,74.0,38.5
2017-07,19,89,89.0,40.1
2017-08,19,64,64.0,41.6
2017-09,23,48,48.0,43.2
2017-10,33,40,40.0,44.8
2017-11,43,36,36.0,46.3
2017-12,56,35,35.0,47.9
2018-01,56,40,40.0,49.4
2018-02,33,42,42.0,50.9
2018-03,27,51,51.0,52.4
2018-04,24,56,56.0,53.9
2018-05,22,71,71.0,55.3
2018-06,21,79,79.0,56.7
2018-07,21,91,91.0,58.1
2018-08,21,66,66.0,59.4
2018-09,24,49,49.0,60.7
2018-10,39,39,39.0,62.0
2018-11,53,34,34.0,63.2
2018-12,48,36,36.0,64.4
2019-01,49,39,39.0,65.5
2019-02,39,42,42.0,66.6
2019-03,30,53,53.0,67.7
2019-04,24,57,57.0,68.7
2019-05,23,65,65.0,69.7
2019-06,22,82,82.0,70.6
2019-07,21,100,100.0,71.5
2019-08,21,68,68.0,72.4
2019-09,24,51,51.0,73.2
2019-10,40,40,40.0,74.0
2019-11,56,36,36.0,74.7
2019-12,46,36,36.0,75.4
2020-01,41,43,43.0,76.1
2020-02,34,45,45.0,76.7
2020-03,25,44,44.0,77.3
2020-04,25,53,53.0,77.8
2020-05,27,70,70.0,78.3
2020-06,24,74,74.0,78.8
