Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,14.832
2017-04,20,55,55.0,16.245
2017-05,21,60,60.0,19.678
2017-06,20,74,74.0,22.134
2017-07,19,89,89.0,25.891
2017-08,19,64,64.0,31.456
2017-09,23,48,48.0,38.923
2017-10,33,40,40.0,29.567
2017-11,43,36,36.0,21.345
2017-12,56,35,35.0,17.892
2018-01,56,40,40.0,15.234
2018-02,33,42,42.0,16.789
2018-03,27,51,51.0,18.456
2018-04,24,56,56.0,20.123
2018-05,22,71,71.0,24.567
2018-06,21,79,79.0,28.901
2018-07,21,91,91.0,33.456
2018-08,21,66,66.0,41.234
2018-09,24,49,49.0,49.678
2018-10,39,39,39.0,36.789
2018-11,53,34,34.0,27.123
2018-12,48,36,36.0,22.456
2019-01,49,39,39.0,18.901
2019-02,39,42,42.0,17.345
2019-03,30,53,53.0,19.234
2019-04,24,57,57.0,21.567
2019-05,23,65,65.0,26.123
2019-06,22,82,82.0,31.789
2019-07,21,100,100.0,38.456
2019-08,21,68,68.0,46.234
2019-09,24,51,51.0,55.678
2019-10,40,40,40.0,41.123
2019-11,56,36,36.0,30.567
2019-12,46,36,36.0,24.901
2020-01,41,43,43.0,20.456
2020-02,34,45,45.0,18.789
2020-03,25,44,44.0,21.345
2020-04,25,53,53.0,24.678
2020-05,27,70,70.0,30.234
2020-06,24,74,74.0,37.901
