Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,45.16621749711472
2017-04,20,55,55.0,47.65269445575759
2017-05,21,60,60.0,50.288632640251954
2017-06,20,74,74.0,51.25109828145333
2017-07,19,89,89.0,56.57146420860563
2017-08,19,64,64.0,48.66667956435469
2017-09,23,48,48.0,43.59537386808941
2017-10,33,40,40.0,39.6773546167704
2017-11,43,36,36.0,46.34102908983406
2017-12,56,35,35.0,53.22803569519852
2018-01,56,40,40.0,49.3184289390034
2018-02,33,42,42.0,51.02066161289355
2018-03,27,51,51.0,48.018061245979375
2018-04,24,56,56.0,55.293290536554
2018-05,22,71,71.0,59.59562605577322
2018-06,21,79,79.0,62.49397492858348
2018-07,21,91,91.0,58.06963841652004
2018-08,21,66,66.0,60.70165996771088
2018-09,24,49,49.0,60.80825254847327
2018-10,39,39,39.0,59.67231683490513
2018-11,53,34,34.0,48.22959755965657
2018-12,48,36,36.0,42.195909572752136
2019-01,49,39,39.0,45.519011839614855
2019-02,39,42,42.0,46.24422282642942
2019-03,30,53,53.0,49.69895730541811
2019-04,24,57,57.0,56.57139066542848
2019-05,23,65,65.0,67.62060901610431
2019-06,22,82,82.0,72.23234493619701
2019-07,21,100,100.0,75.29826122628761
2019-08,21,68,68.0,72.12970776933653
2019-09,24,51,51.0,60.50679501600023
2019-10,40,40,40.0,49.057287100359126
2019-11,56,36,36.0,42.21493344494755
2019-12,46,36,36.0,36.01416488477977
2020-01,41,43,43.0,37.69321111351742
2020-02,34,45,45.0,41.48256404397556
2020-03,25,44,44.0,52.335562353218286
2020-04,25,53,53.0,59.99609435588376
2020-05,27,70,70.0,69.52257900160313
2020-06,24,74,74.0,77.59481421940085
