date,OT,actual,forecast
2/1/2018 16:00,3.799000025,3.799000025,3.939059611128547
2/1/2018 17:00,3.588000059,3.588000059,3.911447003082268
2/1/2018 18:00,3.799000025,3.799000025,3.8987656257794434
2/1/2018 19:00,3.588000059,3.588000059,3.766604743444088
2/1/2018 20:00,3.305999994,3.305999994,3.674115005674837
2/1/2018 21:00,3.657999992,3.657999992,3.620205381848411
2/1/2018 22:00,4.290999889,4.290999889,3.5980246233518223
2/1/2018 23:00,3.938999891,3.938999891,3.61911858823726
2/2/2018 0:00,3.799000025,3.799000025,3.603572990735067
2/2/2018 1:00,4.361999989,4.361999989,3.5038570287793918
2/2/2018 2:00,4.643000126,4.643000126,3.147816662546953
2/2/2018 3:00,4.221000195,4.221000195,3.653790058490858
2/2/2018 4:00,4.079999924,4.079999924,3.392688423038372
2/2/2018 5:00,3.868999958,3.868999958,3.4286691300399053
2/2/2018 6:00,3.938999891,3.938999891,3.40901998629054
2/2/2018 7:00,3.727999926,3.727999926,3.328057040018896
2/2/2018 8:00,3.868999958,3.868999958,3.320311781846639
2/2/2018 9:00,4.43200016,4.43200016,3.2186404387933187
2/2/2018 10:00,3.377000093,3.377000093,3.2914958623556565
2/2/2018 11:00,4.079999924,4.079999924,3.518163300233782
2/2/2018 12:00,3.588000059,3.588000059,3.389370842541174
2/2/2018 13:00,3.447000027,3.447000027,3.2651289358753743
2/2/2018 14:00,3.305999994,3.305999994,3.6189597002824136
2/2/2018 15:00,3.868999958,3.868999958,3.2933665032107164
2/2/2018 16:00,3.305999994,3.305999994,3.140872199667124
2/2/2018 17:00,3.51699996,3.51699996,3.0702157853998635
2/2/2018 18:00,2.321000099,2.321000099,2.9565113278994914
2/2/2018 19:00,2.039999962,2.039999962,2.916763917115061
2/2/2018 20:00,1.899000049,1.899000049,2.8618077512927105
2/2/2018 21:00,2.461999893,2.461999893,2.8371885923157425
2/2/2018 22:00,2.532000065,2.532000065,2.818134748770536
2/2/2018 23:00,2.039999962,2.039999962,2.811849141276804
2/3/2018 0:00,2.039999962,2.039999962,2.8223696423937152
2/3/2018 1:00,0.843999982,0.843999982,2.950676962197523
2/3/2018 2:00,0.703000009,0.703000009,2.712088690693772
2/3/2018 3:00,0.703000009,0.703000009,3.4268705183910413
2/3/2018 4:00,1.337000012,1.337000012,3.2275678233496343
2/3/2018 5:00,0.773999989,0.773999989,3.282096050946929
2/3/2018 6:00,0.0,0.0,3.3155663282618857
2/3/2018 7:00,0.0,0.0,3.260508474148436
2/3/2018 8:00,0.0,0.0,3.257714164649199
2/3/2018 9:00,0.773999989,0.773999989,3.1236953524951705
2/3/2018 10:00,1.406999946,1.406999946,3.177066875781182
2/3/2018 11:00,2.039999962,2.039999962,3.406971390926051
2/3/2018 12:00,1.266000032,1.266000032,3.281002901817585
2/3/2018 13:00,1.970000029,1.970000029,3.2026647845600067
2/3/2018 14:00,3.447000027,3.447000027,3.6041979500241297
2/3/2018 15:00,3.447000027,3.447000027,3.3420201134908165
2/3/2018 16:00,3.657999992,3.657999992,3.277509485317024
2/3/2018 17:00,3.236000061,3.236000061,3.2456556281293736
2/3/2018 18:00,2.461999893,2.461999893,3.135306884235362
2/3/2018 19:00,2.39199996,2.39199996,3.087721001011831
2/3/2018 20:00,1.687999964,1.687999964,3.028036329653247
2/3/2018 21:00,1.266000032,1.266000032,3.000800815686471
2/3/2018 22:00,2.180999994,2.180999994,3.0001546713367606
2/3/2018 23:00,0.773999989,0.773999989,3.0400821551366857
2/4/2018 0:00,1.899000049,1.899000049,3.0932947904678514
2/4/2018 1:00,1.828999996,1.828999996,3.359319834014517
2/4/2018 2:00,2.250999928,2.250999928,3.1722769335690746
2/4/2018 3:00,2.039999962,2.039999962,3.939326542892689
2/4/2018 4:00,2.180999994,2.180999994,3.920101100356249
2/4/2018 5:00,2.39199996,2.39199996,4.010677827149145
2/4/2018 6:00,1.687999964,1.687999964,4.129568387495711
2/4/2018 7:00,1.547999978,1.547999978,4.082130799696703
2/4/2018 8:00,1.899000049,1.899000049,4.075160914744098
2/4/2018 9:00,2.673000097,2.673000097,3.9749068522480098
2/4/2018 10:00,2.884000063,2.884000063,4.085982243722185
2/4/2018 11:00,3.799000025,3.799000025,4.410679312728547
2/4/2018 12:00,2.954999924,2.954999924,4.348429130525705
2/4/2018 13:00,3.377000093,3.377000093,4.29177392283953
2/4/2018 14:00,4.43200016,4.43200016,4.639028844421983
2/4/2018 15:00,3.868999958,3.868999958,4.363387901847998
2/4/2018 16:00,4.150000095,4.150000095,4.2879415453686285
2/4/2018 17:00,4.150000095,4.150000095,4.240084493368826
2/4/2018 18:00,3.236000061,3.236000061,4.086416537465432
2/4/2018 19:00,2.884000063,2.884000063,4.068388050855504
2/4/2018 20:00,2.461999893,2.461999893,4.02582514551119
2/4/2018 21:00,3.447000027,3.447000027,4.010535887242815
2/4/2018 22:00,4.079999924,4.079999924,4.021251290917672
