Month,Passengers,actual,forecast
1958-08,505,505.0,469.8610344027644
1958-09,404,404.0,477.3845847938191
1958-10,359,359.0,399.54124987862406
1958-11,310,310.0,357.66110718882845
1958-12,337,337.0,317.57899982269754
1959-01,360,360.0,330.2145797070649
1959-02,342,342.0,370.60979623267326
1959-03,406,406.0,343.5162455499297
1959-04,396,396.0,390.3579016399269
1959-05,420,420.0,388.93858499045456
1959-06,472,472.0,407.0712144450426
1959-07,548,548.0,455.9524540392906
1959-08,559,559.0,508.9359924884445
1959-09,463,463.0,505.4254906861793
1959-10,407,407.0,434.90308011305416
1959-11,362,362.0,394.20468533676905
1959-12,405,405.0,360.8269041237056
1960-01,417,417.0,395.8097078864336
1960-02,391,391.0,405.4390024609059
1960-03,419,419.0,385.192915743809
1960-04,461,461.0,390.9276535574078
1960-05,472,472.0,446.9996812418982
1960-06,535,535.0,460.7119360048491
1960-07,622,622.0,528.0663647744874
1960-08,606,606.0,615.0318365195701
1960-09,508,508.0,577.938611039728
1960-10,461,461.0,489.0050193145691
1960-11,390,390.0,446.4853837556199
1960-12,432,432.0,385.3356797749472
