Month,Passengers,actual,forecast
1958-08,505,505.0,462.9870476190476
1958-09,404,404.0,476.19247619047616
1958-10,359,359.0,371.9206759566544
1958-11,310,310.0,351.6046687185364
1958-12,337,337.0,346.41677156177155
1959-01,360,360.0,345.1434849308982
1959-02,342,342.0,349.4234627602247
1959-03,406,406.0,390.30643162653513
1959-04,396,396.0,357.3559276341846
1959-05,420,420.0,414.1375437908496
1959-06,472,472.0,463.18554545454543
1959-07,548,548.0,485.4197142857144
1959-08,559,559.0,510.4334047619048
1959-09,463,463.0,446.7945079365077
1959-10,407,407.0,396.96814377289365
1959-11,362,362.0,366.2700064415551
1959-12,405,405.0,353.41043439782896
1960-01,417,417.0,407.47314434103913
1960-02,391,391.0,381.87721587921874
1960-03,419,419.0,462.7766825396825
1960-04,461,461.0,434.74975666000665
1960-05,472,472.0,459.0123104118104
1960-06,535,535.0,520.1759316239317
1960-07,622,622.0,540.9828717948717
1960-08,606,606.0,556.5002051282052
1960-09,508,508.0,531.811505994006
1960-10,461,461.0,457.8265598290598
1960-11,390,390.0,423.9407250804752
1960-12,432,432.0,445.6474356812777
