Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,46.14082717895508
2017-04,20,55,55.0,46.583744049072266
2017-05,21,60,60.0,54.61489868164063
2017-06,20,74,74.0,61.16459274291992
2017-07,19,89,89.0,57.71826934814453
2017-08,19,64,64.0,49.32976913452149
2017-09,23,48,48.0,45.82367706298828
2017-10,33,40,40.0,39.03255462646485
2017-11,43,36,36.0,41.00063705444336
2017-12,56,35,35.0,41.23604965209961
2018-01,56,40,40.0,37.509124755859375
2018-02,33,42,42.0,40.706424713134766
2018-03,27,51,51.0,53.12815856933594
2018-04,24,56,56.0,59.585479736328125
2018-05,22,71,71.0,70.98175811767578
2018-06,21,79,79.0,77.17213439941406
2018-07,21,91,91.0,83.14693450927734
2018-08,21,66,66.0,77.64478302001953
2018-09,24,49,49.0,58.716793060302734
2018-10,39,39,39.0,46.28074645996094
2018-11,53,34,34.0,43.61846923828125
2018-12,48,36,36.0,38.37965774536133
2019-01,49,39,39.0,38.79008483886719
2019-02,39,42,42.0,45.30599212646485
2019-03,30,53,53.0,54.026344299316406
2019-04,24,57,57.0,64.16633605957031
2019-05,23,65,65.0,73.12674713134766
2019-06,22,82,82.0,77.79197692871094
2019-07,21,100,100.0,80.43560028076172
2019-08,21,68,68.0,72.86575317382812
2019-09,24,51,51.0,55.57907485961914
2019-10,40,40,40.0,43.23537826538086
2019-11,56,36,36.0,41.37977600097656
2019-12,46,36,36.0,35.28489685058594
2020-01,41,43,43.0,41.93006896972656
2020-02,34,45,45.0,46.33449172973633
2020-03,25,44,44.0,53.55027770996094
2020-04,25,53,53.0,64.79195404052734
2020-05,27,70,70.0,73.76423645019531
2020-06,24,74,74.0,79.6163330078125
