Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,15.7265625
2017-04,20,55,55.0,15.3125
2017-05,21,60,60.0,17.265625
2017-06,20,74,74.0,19.671875
2017-07,19,89,89.0,22.15625
2017-08,19,64,64.0,26.21875
2017-09,23,48,48.0,30.375
2017-10,33,40,40.0,34.53125
2017-11,43,36,36.0,38.6875
2017-12,56,35,35.0,42.84375
2018-01,56,40,40.0,47.0
2018-02,33,42,42.0,51.15625
2018-03,27,51,51.0,55.3125
2018-04,24,56,56.0,59.46875
2018-05,22,71,71.0,63.625
2018-06,21,79,79.0,67.78125
2018-07,21,91,91.0,71.9375
2018-08,21,66,66.0,76.09375
2018-09,24,49,49.0,80.25
2018-10,39,39,39.0,84.40625
2018-11,53,34,34.0,88.5625
2018-12,48,36,36.0,92.71875
2019-01,49,39,39.0,96.875
2019-02,39,42,42.0,101.03125
2019-03,30,53,53.0,105.1875
2019-04,24,57,57.0,109.34375
2019-05,23,65,65.0,113.5
2019-06,22,82,82.0,117.65625
2019-07,21,100,100.0,121.8125
2019-08,21,68,68.0,125.96875
2019-09,24,51,51.0,130.125
2019-10,40,40,40.0,134.28125
2019-11,56,36,36.0,138.4375
2019-12,46,36,36.0,142.59375
2020-01,41,43,43.0,146.75
2020-02,34,45,45.0,150.90625
2020-03,25,44,44.0,155.0625
2020-04,25,53,53.0,159.21875
2020-05,27,70,70.0,163.375
2020-06,24,74,74.0,167.53125
