Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,48.99
2017-04,20,55,55.0,53.61
2017-05,21,60,60.0,60.98
2017-06,20,74,74.0,67.45
2017-07,19,89,89.0,79.09
2017-08,19,64,64.0,68.93
2017-09,23,48,48.0,55.12
2017-10,33,40,40.0,46.92
2017-11,43,36,36.0,46.93
2017-12,56,35,35.0,49.73
2018-01,56,40,40.0,35.31
2018-02,33,42,42.0,42.85
2018-03,27,51,51.0,48.11
2018-04,24,56,56.0,57.69
2018-05,22,71,71.0,62.1
2018-06,21,79,79.0,76.6
2018-07,21,91,91.0,86.69
2018-08,21,66,66.0,70.99
2018-09,24,49,49.0,55.55
2018-10,39,39,39.0,46.42
2018-11,53,34,34.0,44.24
2018-12,48,36,36.0,45.78
2019-01,49,39,39.0,34.47
2019-02,39,42,42.0,42.62
2019-03,30,53,53.0,49.29
2019-04,24,57,57.0,59.53
2019-05,23,65,65.0,66.12
2019-06,22,82,82.0,74.81
2019-07,21,100,100.0,91.24
2019-08,21,68,68.0,75.16
2019-09,24,51,51.0,53.99
2019-10,40,40,40.0,44.52
2019-11,56,36,36.0,39.92
2019-12,46,36,36.0,41.87
2020-01,41,43,43.0,37.69
2020-02,34,45,45.0,45.4
2020-03,25,44,44.0,53.77
2020-04,25,53,53.0,53.11
2020-05,27,70,70.0,64.03
2020-06,24,74,74.0,81.17
