Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,46.55520772395733
2017-04,20,55,55.0,46.2618580991844
2017-05,21,60,60.0,62.40876453522132
2017-06,20,74,74.0,68.93703909567385
2017-07,19,89,89.0,68.44517417417904
2017-08,19,64,64.0,55.483372954589775
2017-09,23,48,48.0,48.06598162675642
2017-10,33,40,40.0,40.87648550002458
2017-11,43,36,36.0,38.328020357817486
2017-12,56,35,35.0,48.65277767424576
2018-01,56,40,40.0,43.53237388853868
2018-02,33,42,42.0,47.0401446783548
2018-03,27,51,51.0,50.05212078949719
2018-04,24,56,56.0,62.01393271972289
2018-05,22,71,71.0,71.5173844731049
2018-06,21,79,79.0,74.95743528785232
2018-07,21,91,91.0,82.84579572941514
2018-08,21,66,66.0,72.80938141935034
2018-09,24,49,49.0,53.01183804115774
2018-10,39,39,39.0,46.16049934804067
2018-11,53,34,34.0,43.368573819335
2018-12,48,36,36.0,48.33748149620383
2019-01,49,39,39.0,35.08834073626741
2019-02,39,42,42.0,43.25332275589315
2019-03,30,53,53.0,53.50062839965448
2019-04,24,57,57.0,60.014234863036044
2019-05,23,65,65.0,71.82464115550277
2019-06,22,82,82.0,83.088756938239
2019-07,21,100,100.0,85.42534684021506
2019-08,21,68,68.0,73.59233167181476
2019-09,24,51,51.0,55.13376751181414
2019-10,40,40,40.0,43.936808877517166
2019-11,56,36,36.0,42.694926986723225
2019-12,46,36,36.0,42.45463736135054
2020-01,41,43,43.0,42.5180310129631
2020-02,34,45,45.0,47.95127213064785
2020-03,25,44,44.0,52.02328854807946
2020-04,25,53,53.0,66.56801616612083
2020-05,27,70,70.0,75.4332368054734
2020-06,24,74,74.0,80.84673784988648
