Month,Heater,Ice cream,actual,forecast
2017-03,25,44,44.0,43.65510919750895
2017-04,20,55,55.0,37.625283198345
2017-05,21,60,60.0,48.53235392504187
2017-06,20,74,74.0,58.40606478482327
2017-07,19,89,89.0,74.7225832416876
2017-08,19,64,64.0,77.20192389568417
2017-09,23,48,48.0,67.41129982152802
2017-10,33,40,40.0,47.70450517832336
2017-11,43,36,36.0,48.79131219649079
2017-12,56,35,35.0,58.2378552642468
2018-01,56,40,40.0,62.85257811272126
2018-02,33,42,42.0,63.622336852474575
2018-03,27,51,51.0,31.451473665231852
2018-04,24,56,56.0,43.99181510977073
2018-05,22,71,71.0,40.72085780861983
2018-06,21,79,79.0,59.29001772199615
2018-07,21,91,91.0,78.71777868644475
2018-08,21,66,66.0,120.42030976526198
2018-09,24,49,49.0,74.8446844981173
2018-10,39,39,39.0,46.64979987278386
2018-11,53,34,34.0,27.24707415696804
2018-12,48,36,36.0,41.25847237013309
2019-01,49,39,39.0,26.305420003255698
2019-02,39,42,42.0,30.39970600340173
2019-03,30,53,53.0,46.99751550828164
2019-04,24,57,57.0,52.7332164587542
2019-05,23,65,65.0,62.02498003007845
2019-06,22,82,82.0,71.84341667601167
2019-07,21,100,100.0,78.86628322551482
2019-08,21,68,68.0,83.17429072580677
2019-09,24,51,51.0,74.26114410020128
2019-10,40,40,40.0,58.12644900838029
2019-11,56,36,36.0,46.13458493159076
2019-12,46,36,36.0,35.40799860599954
2020-01,41,43,43.0,46.729790957074215
2020-02,34,45,45.0,48.34217648338673
2020-03,25,44,44.0,49.87645369113304
2020-04,25,53,53.0,54.88855708397057
2020-05,27,70,70.0,56.90807120203449
2020-06,24,74,74.0,70.72610941014437
